page,model,ok,error,cer_finereader,agreement,h1,h2,h3,authors,positions,tables,html_tables,rotated_found,rotated_total,schemas,pictures,footnotes,unreadable,lists,repetition,page_number,page_number_expected,is_toc,truncated,cost_usd,latency_s,prompt_tokens,completion_tokens,chars
IMG_0104_2R.jpg,deepseek-v41-flash-s2,True,,0.9833333333333333,0.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,,False,False,0.000451686,3.38,2941,143,93
IMG_0105_2R.jpg,deepseek-v41-flash-s2,True,,0.03556701030927835,0.02184969926857448,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,1,1,False,False,0.000761886,5.29,2961,655,1890
IMG_0106_1L.jpg,deepseek-v41-flash-s2,True,,0.0005908419497784342,9.841551028442082e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,False,False,0.000952686,6.75,2961,973,3397
IMG_0106_2R.jpg,deepseek-v41-flash-s2,True,,0.0020138089758342925,0.0008647748453504333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,False,False,0.000971286,7.48,2961,1004,3483
IMG_0107_1L.jpg,deepseek-v41-flash-s2,True,,0.002290950744558992,0.00019096724911677647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,False,False,0.000940854,6.95,2961,1016,3499
IMG_0107_2R.jpg,deepseek-v41-flash-s2,True,,0.0008450704225352113,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,False,False,0.000947454,6.7,2961,1027,3557
IMG_0108_1L.jpg,deepseek-v41-flash-s2,True,,0.0015179113539769277,0.0017223942276687297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,False,False,0.000881454,7.95,2961,917,3304
IMG_0108_2R.jpg,deepseek-v41-flash-s2,True,,0.0031213421771361686,0.002859003261178839,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,7,False,False,0.000778854,6.7,2961,746,2579
IMG_0109_1L.jpg,deepseek-v41-flash-s2,True,,0.002245508982035928,0.00037415815581706024,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,8,8,False,False,0.000798654,5.88,2961,779,2690
IMG_0109_2R.jpg,deepseek-v41-flash-s2,True,,0.0011334655709832814,0.0010410751466969524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,9,False,False,0.000894054,6.54,2961,938,3533
IMG_0110_1L.jpg,deepseek-v41-flash-s2,True,,0.0008670520231213873,0.0006746245257123217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10,10,False,False,0.000924054,6.9,2961,988,3469
IMG_0110_2R.jpg,deepseek-v41-flash-s2,True,,0.0017709563164108619,0.002558292026546607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11,11,False,False,0.000955854,7.0,2961,1041,3398
IMG_0111_1L.jpg,deepseek-v41-flash-s2,True,,0.002288329519450801,0.000476462740613684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,12,False,False,0.000927654,7.19,2961,994,3506
IMG_0111_2R.jpg,deepseek-v41-flash-s2,True,,0.0011716461628588166,0.0016579757439573982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,13,False,False,0.000874854,7.02,2961,906,3423
IMG_0112_1L.jpg,deepseek-v41-flash-s2,True,,0.003807850029291154,0.00390342948364999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,14,False,False,0.000990054,7.31,2961,1098,3509
IMG_0112_2R.jpg,deepseek-v41-flash-s2,True,,0.03166815343443354,0.015589608822283498,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,15,15,False,False,0.000855054,6.06,2961,873,2448
IMG_0113_1L.jpg,deepseek-v41-flash-s2,True,,0.0020091848450057405,0.0004782402025242086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16,16,False,False,0.000946254,6.42,2961,1025,3495
IMG_0113_2R.jpg,deepseek-v41-flash-s2,True,,0.012774229380727576,0.0005629575019338799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17,17,False,False,0.000955854,6.93,2961,1041,3564
IMG_0114_1L.jpg,deepseek-v41-flash-s2,True,,0.07226037623171096,0.0005179844310372329,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0.0,18,18,False,False,0.001064454,8.39,2961,1222,3319
IMG_0114_2R.jpg,deepseek-v41-flash-s2,True,,0.10869565217391304,0.0009360010513174321,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0.0,19,19,False,False,0.001020054,6.22,2961,1148,3049
IMG_0115_1L.jpg,deepseek-v41-flash-s2,True,,0.001984126984126984,0.00026486558071778574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,20,False,False,0.000751854,5.56,2961,701,2527
IMG_0115_2R.jpg,deepseek-v41-flash-s2,True,,0.015455594002306805,0.004476281749086474,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0.0,21,21,False,False,0.001032654,7.46,2961,1169,4358
IMG_0116_1L.jpg,deepseek-v41-flash-s2,True,,0.0027922561429635146,0.0044925801291046084,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,22,False,False,0.001261254,10.73,2961,1550,5381
IMG_0116_2R.jpg,deepseek-v41-flash-s2,True,,0.023466447097571015,0.007967307465054805,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,23,False,False,0.001119654,8.59,2961,1314,4940
